1: length=-1, (b, c, d) = (0, 0, -1)
2: length=0, (b, c, d) = (0, 0, 0)
3: length=1, (b, c, d) = (0, 0, 1)
4: length=65535, (b, c, d) = (0, 1, -1)
5: length=65536, (b, c, d) = (0, 1, 0)
6: length=65537, (b, c, d) = (0, 1, 1)
7: length=131071, (b, c, d) = (0, 2, -1)
8: length=131072, (b, c, d) = (0, 2, 0)
9: length=131073, (b, c, d) = (0, 2, 1)
10: length=196607, (b, c, d) = (0, 3, -1)
11: length=196608, (b, c, d) = (0, 3, 0)
12: length=196609, (b, c, d) = (0, 3, 1)
13: length=262143, (b, c, d) = (0, 4, -1)
14: length=262144, (b, c, d) = (0, 4, 0)
15: length=262145, (b, c, d) = (0, 4, 1)
16: length=327679, (b, c, d) = (0, 5, -1)
17: length=327680, (b, c, d) = (0, 5, 0)
18: length=327681, (b, c, d) = (0, 5, 1)
19: length=393215, (b, c, d) = (0, 6, -1)
20: length=393216, (b, c, d) = (0, 6, 0)
21: length=393217, (b, c, d) = (0, 6, 1)
22: length=458751, (b, c, d) = (0, 7, -1)
23: length=458752, (b, c, d) = (0, 7, 0)
24: length=458753, (b, c, d) = (0, 7, 1)
25: length=524287, (b, c, d) = (0, 8, -1)
26: length=524288, (b, c, d) = (0, 8, 0)
27: length=524289, (b, c, d) = (0, 8, 1)
28: length=589823, (b, c, d) = (0, 9, -1)
29: length=589824, (b, c, d) = (0, 9, 0)
30: length=589825, (b, c, d) = (0, 9, 1)
31: length=655359, (b, c, d) = (0, 10, -1)
32: length=655360, (b, c, d) = (0, 10, 0)
33: length=655361, (b, c, d) = (0, 10, 1)
34: length=720895, (b, c, d) = (0, 11, -1)
35: length=720896, (b, c, d) = (0, 11, 0)
36: length=720897, (b, c, d) = (0, 11, 1)
37: length=786431, (b, c, d) = (0, 12, -1)
38: length=786432, (b, c, d) = (0, 12, 0)
39: length=786433, (b, c, d) = (0, 12, 1)
40: length=851967, (b, c, d) = (0, 13, -1)
41: length=851968, (b, c, d) = (0, 13, 0)
42: length=851969, (b, c, d) = (0, 13, 1)
43: length=917503, (b, c, d) = (0, 14, -1)
44: length=917504, (b, c, d) = (0, 14, 0)
45: length=917505, (b, c, d) = (0, 14, 1)
46: length=983039, (b, c, d) = (0, 15, -1)
47: length=983040, (b, c, d) = (0, 15, 0)
48: length=983041, (b, c, d) = (0, 15, 1)
49: length=1048575, (b, c, d) = (0, 16, -1)
50: length=1048576, (b, c, d) = (0, 16, 0)
51: length=1048577, (b, c, d) = (0, 16, 1)
52: length=1114111, (b, c, d) = (0, 17, -1)
53: length=1114112, (b, c, d) = (0, 17, 0)
54: length=1114113, (b, c, d) = (0, 17, 1)
55: length=1179647, (b, c, d) = (0, 18, -1)
56: length=1179648, (b, c, d) = (0, 18, 0)
57: length=1179649, (b, c, d) = (0, 18, 1)
58: length=1245183, (b, c, d) = (0, 19, -1)
59: length=1245184, (b, c, d) = (0, 19, 0)
60: length=1245185, (b, c, d) = (0, 19, 1)
61: length=1310719, (b, c, d) = (0, 20, -1)
62: length=1310720, (b, c, d) = (0, 20, 0)
63: length=1310721, (b, c, d) = (0, 20, 1)
64: length=1376255, (b, c, d) = (0, 21, -1)
